nome,doce,salgado,bebida
BOCADITOS CONFEITARIA,"Beijo da Boca: Entremet bem tropical e alegre como o Carnatal, composta por massa chiffon recheada com mousse de maracujá, cocadinha cremosa e coulis de manga e como decoração um creme de 3 leites colorido e purpurinado;","Sebosão Gourmet da Boca: Sebosão com pão artesanal Bocaditos de rapadura e castanha de caju recheado com creme de linguiça artesanal potiguar Dorgan de pernil, bacon e queijo coalho finalizado com queijo manteiga e manteiga de garrafa Queijaria 504 também potiguar, uma fatia de queijo coalho Queijaria 504, cebola caramelizada na cerveja artesanal potiguar Raffe, folha de alface e tomate fresco e para completar um molho artesanal de coentro.",Café espresso com chantilly colorido e purpurinado OU suco de caju OU água mineral (com ou sem gás).
PANEER PATISSERIE,Brioche na chapa com manteiga da terra e cocada cremosa da casa;,Brioche na chapa com manteiga da terra e carne de sol na nata;,Frapê com chantilly.
CHEF FIT'S,Crepe de cartola com sorvete de creme zero açúcar;,Coxinha de frango no espeto com massa de macaxeira e flambada com queijo do reino;,Café coado ou água.
"FRAN'S CAFÉ
CIDADE JARDIM & PARTAGE NORTE SHOPPING",Croissant de Doce de Leite;,Porção de mini Pão de Queijo;,Espresso ou Mini Francino de Doce de Leite.
DA TERRA COMIDA REGIONAL,Tapioca de coco com leite condensado;,Cuscuz com carne de sol na nata;,Café puro OU Café com leite OU Cajuina 250ml OU Grapete 250ml.
DOCE LELÊ,Cheesecake desconstruída;,Pão delícia com carne de sol cremosa;,Cappuccino ou água (água para delivery).
DUART'S CONFEITARIA,Bolo de coco com compota de abacaxi e brigadeiro de coco;,Dadinho de tapioca com carne de sol acompanhado de uma porção de geleia de pimenta;,Café coado ou refrigerante pet 200ml.
CECÍLIA MINDÊLO,Filhós pedacinho do céu com sorvete e melaço de cana;,Torrada amostrada de carne de sol na nata com queijo de manteiga;,Café caicoense e rosquinha de queijo para acompanhar.
VERYSUGAR,"Cocada de colher quentinha, servida com sorvete de tapioca de fabricação própria, coberta de calda de chocolate;",Coxinha(120g) de camarão ao queijo de manteiga;,Smoothie de cajá ou café espresso.
LULU CAFÉ E PATISSERIE,"Sorvete de creme, calda de goiabada quente e raspas de queijo coalho;",Croquete de macaxeira com carne de sol na nata e molho de queijo coalho;,Café com leite.
CHOCOLATUDOS POR LAÍS,"Nuvem de merengue recheada com chocolate crocante, Brownie molhadinho, chuvinha de ovomaltine e pé de moleque;","Batata-Frita Nordestina, batata frita, creme de queijo Manteiga e carne de sol;",Café e rapadura ou água.
SANDRA MAIA CHOCOLATERIA,"Bolo de chocolate com cocada cremosa e sorvete de tapioca, castanha de caju e doce de leite;","Pão de jerimum com filé de sol, crispy de queijo coalho e mousse de queijo de manteiga finalizado com flor de sal;","Smoothie de cajá OU água, água com gás ou refrigerante."
BENDITA CONFEITARIA,Feito Manteiga Nega: Morro do Careca recheado de lascas de amêndoas e Geleia de Mangaba;,Coxinha Grafiteira de Carne de Sol com Requeijão;,"Café preto forte, para curar a ressaca e reduzir os danos."
AUMER RESTAURANTE,"Amostrada (sobremesa composta por camadas de caju, praliné de castanha, creme de tapioca e itens característicos da gastronomia potiguar);","Tem pareia não (barquinhas de tapioca recheada com carne de sol na nata, camarão no jerimum e peixe com maionese de coco);","Café de rocha ou suco de cajá ou água (café gelado composto por castanha de caju, banana caramelizada, leite e café)."
MARLON VINICIUS DOCERIA,"Chapéu de Couro: Biscoito de castanha com rapadura, creme de coco queimado, acompanhado com geleia de frutas tropicais (cajá e manga);","Chef Lampião: Pão de macaxeira trançado com recheio de frango ao vinho OU Salgado com opção vegetariana: pão de macaxeira trançado com recheio de queijo coalho, tomate assado e couve arretada;","Café coado, umbuzada ou água."
FRAN'S CAFÉ // CIDADE VERDE,Petit gateau com sorvete fior di latte e coco ralado por cima;,Croissant de queijos;,Cappuccino grande.
CÁSSIA RIBEIRO,Cheesecake de coco com coulis de maracujá OU Cheesecake desconstruída de coco com calda de cocada mole;,"Cestinha com pontudinhos de macaxeira com carne de sol, bolinho de camarão e bolinha de 3 queijos OU cestinha de bolinha de 3 queijos (vegetariano);",Suco de Cajá com hortelã e limão OU café coado.
BELL'S CAFETERIA,Torta cocada com adicional de sorvete de tapioca;,"Coxinha com massa de jerimum, recheada com camarão e caranguejo OU coxinha com massa de jerimum e recheio de carne de sol com nata;",Soda italiana de laranja OU café com leite com rapadura.
DOUCE BIEN,"Éclair feito com um craquelin de rapadura, recheio de creme de chocolate de terror nordestino, praline de castanha de caju , decorado com morangos e açúcar gelado;","Queche de carne de sol refogado com cebola roxa e jerimum na manteiga de garrafa, gratinado com tipo suíço e potiguar;","Capuccino Nevado - Creme de capuccino flambado com licor de avelã, batido com leite, coberto com uma nuvem de creme, calda de chocolate e decorado com coco râpé."
DELIZÉU GOURMET,"DéliTORTA COOKIE CARTOLA (nossa Torta Cookies eleita a favorita de Natal pelos DéliLOVERS agora numa versão Potiguar, com recheio da sobremesa mais amada, a Cartola, recheada com o melhor Brigadeiro Meio amargo da vida, Bananas Maduras, Queijo Manteiga, Açúcar Mascavo e Canela. Servida com decoração de Brigadeiro e Bananas, polvilhada com Canela e regada com Melaço.",DéliQUICHE POTIGUAR (Massa Amanteigada que derrete na boca com um delicioso recheio de Carne do Sol na Nata com Requeijão Cremoso e servida com cubos de Queijo Coalho assado na manteiga);,Café Expresso Arretado servido com Rapadura ou Coca Cola.
MR. CUPCAKE CONFEITARIA,"Mini bolo caipira de chocolate com recheio de cocada de rapadura, mousse de Cajá e pralinê de pé de moleque;",Coxinha de galinha empanada no panko de cuscuz;,Café do sítio xicoso com borda de paçoquinha.
ATELIER MINE CONFEITARIA,"Tokyo 2020 (Casquinha de chocolate blend, brownie, açaí e calda quente de leite condensado);","Sanduíche do Baiano (Sanduíche de pão brioche com hambúrguer artesanal, produzido a partir de um blend de carnes selecionadas, acompanha queijo mussarela, alface americana e molho secreto);","Tokyo 2020 (Casquinha de chocolate blend, brownie, açaí e calda quente de leite condensado);"
SUISSE BROWNIE,"Taça Mossoró (pão de ló, creme de chocolate, mousse branco, crocante de amendoim, sorvete de doce de leite, suspiro e tareco de milho com flor de sal);",Pão de macaxeira com manteiga da terra e creme de frango;,"Café, refrigerante de caju ou água."
CAFÉ BRIGADEIRO,Croqueta Do Sertão (Massa de macaxeira recheada com carne de Sol na manteiga de garrafa e queijo cremoso);,Tapioca Gelada ( Bolo de tapioca com Sorvete de Rapadura e coco com caramelo salgado);,Café Coado Ou Água Ou Coca cola
CAROLI DOUCES,"Bolinho de chocolate com recheio de caramelo salgado e brigadeiro, sorvete de tapioca, calda de doce de leite e praliné de castanha de caju;",Empada de carne de sol;,"Suco de caju, café ou agua."
BEM EU CONFEITARIA,Mini bolo de nata com cobertura de doce de leite caseiro e crocante de castanha de cajú;,Trouxinha de carne de sol com queijo coalho e molho verde especial da casa;,Café coado ou água mineral.
CAROL DANTAS CONFEITARIA,"Sobremesa gelada com creme branco, banana caramelizada, crocante e sorvete de cremeOU Minibolo com cocada quente;",2 mini pães delícia de carne de sol na nata com queijo de coalhoOU Escondidinho de macaxeira com carne de sol e queijo de coalho;,"Café, água ou refrigerante (pet de 220 Ml)"
LE PARADIS DU CAFÉ,Madeleine recheada com doce de leite; Canelé e Crème Brulee;,Croque Carne de Sol e Coalho;,Cappuccino Maison ou Café Expresso.
PARMA DOCES,"Cartola Desconstruída: Camadas de banana selada na manteiga da terra intercalada com um maravilhoso creme de queijo manteiga, brigadeiro de chocolate e finalizada com sorvete de creme e calda de chocolate;",Empada de camarão;,Café ou água.
RECANTO DA PROSA,Torta Banoffee;,Quiche de Carne de sol com Catupiry;,Café coado no pano OU Frapê.
