nome,serie,doce,salgado,bebida
MR. CUPCAKE,GAME OF THRONES,"Mr. Cupcake Trono de Ferro, composto de um Cupcake Red Velvet dentro de uma xícara de louça com calda de chocolate na base e morangos picados, seguido de uma casquinha com bola de sorvete no centro e calda de frutas vermelhas escorrendo. Finalizando no topo, uma coroa de chocolate ao leite dourada.",Mr. Coxinha de Frango.,Mr. Cappuccino Hidromel.
CASA DOS SALGADOS,VIKINGS,Torta Folhada de Maçã.,Trio de coxinhas bárbaras (sabores inusitados).,"Café, Refrigerante ou Suco de Laranja."
MANGAI,THE CROWN,Pão doce de macaxeira doce com Nutella.,Tapioca com carne de sol e nata.,Café coado.
MOMENTO GOURMET,GILMORE GIRLS,Waffle.,Coxinha de Costela.,Cappuccino.
PANEER,CHAVES,Sonho de churros.,Sanduíche de presunto no croissant.,"Café, café com leite ou água."
CECILIA MINDÊLO,ANNE WITH AN E,Bolo de aniversário esplêndido de Anne with an E.,Toast green gables recheado com creme especial de frango com tomate seco e farofa de bacon.,Café ou água.
BOCADITOS,O GAMBITO DA RAINHA,TORTA MEDOVíK. Elaborada em várias camadas com uma massa bem delicada à base de mel e recheada com creme de cream cheese. Para a cobertura trouxemos uma ganache de chocolate belga meio amargo para compor a decoração da torta.,"Pirozhki. Um salgado assado semelhante a um pastel de forno, recheado com o tradicional recheio russo que é a base de frango e cenoura.","café expresso ou água ou chá Twinings (algo muito típico da Rússia), nesse caso, indicamos o preto, que é o típico e o que mais combina com o nosso combo."
CÁSSIA RIBEIRO CONFEITARIA,GOSSIP GIRL,Redvelvet Devil’s cake.,"Hot dog, pão brioche, salsicha, bacon e salada coleslaw. Hot dog vegetariano, salsicha veg, pão brioche e salada coleslaw.",Pink Lemonade ou Mini Frappuccino.
CAFÉ BRIGADEIRO,QUEM MATOU SARA?,Deliciosa sobremesa de palha italiana e chocolate amargo.,Irresistível coxinha de frango servida com molho Sweet chilli.,Cappuccino gelado 100 ml (sorvete e chantininho) ou água ou Coca Cola (250 ml).
MARLON VINICIUS GASTRONOMIA,CIDADE INVISÍVEL,"Cuca de Banana: massa fofinha com banana, finalizada com crumble crocante e calda especial para acompanhar.","Pão de Milho Artesanal, recheado com carne cremosa.",Café Expresso (Pode ser trocado por Refrigerante ou Água).
BELL'S CAFETERIA E DOCERIA,LA CASA DE PAPEL,Torta red.,Porção de mini coxinha.,Café espresso ou Água.
BELLA PETIT DOCERIA,ICARLY,"iCup - Camada de brownie, brigadeiro branco especial, mousse de morango e geleia artesanal de frutas vermelhas.",Pães de queijo recheados com frango e polvilhados no queijo do reino.,"Café espresso Nestlé, refrigerante 250ml ou água (delivery)."
RAFAELA FONTES,EMILLY EM PARIS,Brownie meio amargo com crocante de castanha de caju e mousse de chocolate ao leite.,Croissant de catupiry com presunto de peru defumado.,Mon amour.
AUMER RESTAURANTE ,VIKINGS,"Sobremesa em camadas com banana, queijo de manteiga, ganache, geleia de morango e chantili com leve toque de gengibre.","Mix do mar (isca de peixe, bolinho de siri, camarão empanado e bolinho de bacalhau) empanados em massa kourkouti e farinha panko fritos.","Coquetel sem álcool aumer (xarope de manjericão, soda e chá de hibisco) ou água mineral sem gás para consumo no local. Para o delivery terá a opção de refrigerante ou água sem gás."
DASMELO,EMILY EM PARIS,"Eclair com chocolate, ninho e morango fresco.",Croissant com patê de frango.,Café espresso ou água.
FRAN'S CAFÉ,O GAMBITO DA RAINHA,Fatia de rocambole.,Croissant.,Mochaccino.
RÁDIO CAFÉ,SEX/LIFE,Sorvete de queijo do reino com goiaba.,Coxinha de pepperoni com Cream Cheese.,Café espresso ou Coca Cola.
CHOCOLATUDOS POR LAÍS,OS SIMPSONS,"Homer’s Cake Slice. (Fatia de torta chocolatuda, massa de chocolate e brigadeiro tradicional e morangos) Ou Lisa's sweet cake (Fatia de torta de baunilha, brigadeiro branco e morangos).",Coxinha de frango do Bart.,"Capuccino da Marge, Soda Duff do Moe ou Refrigerante."
LULU CAFÉ,EMILY EM PARIS,Eclair cobertura de ninho com mousse de nutella.,Croissant tradicional francês.,Cappuccino ou chocolate quente com chantilly.
